Filename,Very Low,Low,Medium,High,Very High,Nil,Very Low_Area,Low_Area,Medium_Area,High_Area,Very High_Area,Nil_Area
Chickpea_GHAZNI_ZZ_Drought,75,0,0,0,0,0,1338.1438,0,0,0,0,0
Chickpea_GHAZNI_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHAZNI_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHAZNI_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHAZNI_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHOR_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHOR_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHOR_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHOR_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHOR_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GHOR_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HILMAND_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HILMAND_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HILMAND_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HILMAND_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HILMAND_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HILMAND_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HIRAT_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HIRAT_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HIRAT_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HIRAT_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HIRAT_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_HIRAT_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_India_ZZ_Cold stress during flowering,234675,26075,6150,1775,4000,1118050,73259920,11409448,2750658.8,547339.44,1827758.2,587816060
Chickpea_India_ZZ_Drought,1077175,252775,1300,0,0,0,564570000,83234880,205795.56,0,0,0
Chickpea_India_ZZ_Excess rainfall,157075,13900,5250,3725,8750,1202025,82509840,10010028,3020890.5,1881324.1,3630114.2,576559000
Chickpea_India_ZZ_Frost,18000,250,100,175,1525,1370675,7344176.5,62522.457,23018.63,32879.242,682161.94,669466430
Chickpea_India_ZZ_Heat stress,319050,161600,211300,180300,477900,40575,191228510,71113160,109076376,72960530,221923310,11309284
Chickpea_India_ZZ_High tempearture during flowering,281000,12625,5700,1175,25,1090200,127914240,7178566.5,3486307.8,944650.44,19534.363,538067840
Chickpea_JAWZJAN_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_JAWZJAN_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_JAWZJAN_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_JAWZJAN_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_JAWZJAN_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_JAWZJAN_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KABUL_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KABUL_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KABUL_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KABUL_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KABUL_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KABUL_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KANDAHAR_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KANDAHAR_ZZ_Drought,125,0,0,0,0,0,2781.9312,0,0,0,0,0
Chickpea_KANDAHAR_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KANDAHAR_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KANDAHAR_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KANDAHAR_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KAPISA_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KAPISA_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KAPISA_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KAPISA_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KAPISA_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KAPISA_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KarnaliDIV_ZZ_Cold stress during flowering,0,0,0,150,2425,0,0,0,0,30237.027,468128.6,0
Chickpea_KarnaliDIV_ZZ_Drought,2600,0,0,0,0,0,505420.72,0,0,0,0,0
Chickpea_KarnaliDIV_ZZ_Excess rainfall,75,0,0,0,0,2500,9688.115,0,0,0,0,488677.6
Chickpea_KarnaliDIV_ZZ_Frost,575,425,250,175,1150,0,118838.6,96076.555,49052.195,38223.855,196174.45,0
Chickpea_KarnaliDIV_ZZ_Heat stress,0,0,0,0,0,2575,0,0,0,0,0,498365.66
Chickpea_KarnaliDIV_ZZ_High tempearture during flowering,0,0,0,0,0,2575,0,0,0,0,0,498365.66
Chickpea_KHOST_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KHOST_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KHOST_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KHOST_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KHOST_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KHOST_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KhulnaDIV_ZZ_Cold stress during flowering,0,0,0,0,0,5775,0,0,0,0,0,7907563
Chickpea_KhulnaDIV_ZZ_Drought,5775,0,0,0,0,0,7911088.5,0,0,0,0,0
Chickpea_KhulnaDIV_ZZ_Excess rainfall,0,0,0,0,0,5775,0,0,0,0,0,7907563
Chickpea_KhulnaDIV_ZZ_Frost,0,0,0,0,0,5775,0,0,0,0,0,7907563
Chickpea_KhulnaDIV_ZZ_Heat stress,5775,0,0,0,0,0,7907563,0,0,0,0,0
Chickpea_KhulnaDIV_ZZ_High tempearture during flowering,0,0,0,0,0,5775,0,0,0,0,0,7907563
Chickpea_KoshiDIV_ZZ_Cold stress during flowering,0,0,0,0,0,250,0,0,0,0,0,193802.2
Chickpea_KoshiDIV_ZZ_Drought,250,0,0,0,0,0,193802.2,0,0,0,0,0
Chickpea_KoshiDIV_ZZ_Excess rainfall,0,0,0,0,0,250,0,0,0,0,0,193802.2
Chickpea_KoshiDIV_ZZ_Frost,0,0,0,0,0,250,0,0,0,0,0,193802.2
Chickpea_KoshiDIV_ZZ_Heat stress,0,175,75,0,0,0,0,138277.3,55524.91,0,0,0
Chickpea_KoshiDIV_ZZ_High tempearture during flowering,0,0,0,0,0,250,0,0,0,0,0,193802.2
Chickpea_KUNAR_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNAR_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNAR_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNAR_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNAR_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNAR_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNDUZ_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNDUZ_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNDUZ_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNDUZ_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNDUZ_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_KUNDUZ_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LAGHMAN_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LAGHMAN_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LAGHMAN_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LAGHMAN_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LAGHMAN_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LAGHMAN_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LOGAR_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LOGAR_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LOGAR_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LOGAR_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LOGAR_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LOGAR_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_LumbiniDIV_ZZ_Cold stress during flowering,1550,550,425,450,950,25,362144.38,124288.28,97823.02,92427.79,135017.61,2490.7478
Chickpea_LumbiniDIV_ZZ_Drought,4025,75,0,0,0,0,846804.25,37477.688,0,0,0,0
Chickpea_LumbiniDIV_ZZ_Excess rainfall,0,0,0,0,0,3950,0,0,0,0,0,814191.9
Chickpea_LumbiniDIV_ZZ_Frost,1525,225,175,100,425,1500,317016.4,46432.184,28133.975,11880.25,57773.246,352955.78
Chickpea_LumbiniDIV_ZZ_Heat stress,200,0,0,0,0,3750,98380.83,0,0,0,0,715811
Chickpea_LumbiniDIV_ZZ_High tempearture during flowering,0,0,0,0,0,3950,0,0,0,0,0,814191.9
Chickpea_MadheshDIV_ZZ_Cold stress during flowering,150,0,0,0,0,0,225701.4,0,0,0,0,0
Chickpea_MadheshDIV_ZZ_Drought,150,0,0,0,0,0,225701.4,0,0,0,0,0
Chickpea_MadheshDIV_ZZ_Excess rainfall,0,0,0,0,0,150,0,0,0,0,0,225701.4
Chickpea_MadheshDIV_ZZ_Frost,0,0,0,0,0,150,0,0,0,0,0,225701.4
Chickpea_MadheshDIV_ZZ_Heat stress,0,150,0,0,0,0,0,225701.4,0,0,0,0
Chickpea_MadheshDIV_ZZ_High tempearture during flowering,0,0,0,0,0,150,0,0,0,0,0,225701.4
Chickpea_Maldives_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Maldives_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Maldives_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Maldives_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Maldives_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Maldives_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MALE ECONOMIC_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MALE ECONOMIC_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MALE ECONOMIC_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MALE ECONOMIC_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MALE ECONOMIC_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MALE ECONOMIC_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_MymensinghDIV_ZZ_Cold stress during flowering,0,0,0,0,0,25,0,0,0,0,0,12942.353
Chickpea_MymensinghDIV_ZZ_Drought,25,0,0,0,0,0,12942.353,0,0,0,0,0
Chickpea_MymensinghDIV_ZZ_Excess rainfall,0,0,0,0,0,25,0,0,0,0,0,12942.353
Chickpea_MymensinghDIV_ZZ_Frost,0,0,0,0,0,25,0,0,0,0,0,12942.353
Chickpea_MymensinghDIV_ZZ_Heat stress,25,0,0,0,0,0,12942.353,0,0,0,0,0
Chickpea_MymensinghDIV_ZZ_High tempearture during flowering,0,0,0,0,0,25,0,0,0,0,0,12942.353
Chickpea_NANGARHAR_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NANGARHAR_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NANGARHAR_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NANGARHAR_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NANGARHAR_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NANGARHAR_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Nepal_ZZ_Cold stress during flowering,2000,825,775,1125,6925,250,639614.25,182469.66,205960.72,291242.12,1288675.8,180511.62
Chickpea_Nepal_ZZ_Drought,12075,100,0,0,0,0,2837613.8,55204.03,0,0,0,0
Chickpea_Nepal_ZZ_Excess rainfall,350,0,0,0,0,11550,63650.953,0,0,0,0,2724823
Chickpea_Nepal_ZZ_Frost,3675,1075,750,500,3800,2100,894608.75,239596.52,137074.98,95196.88,619338.5,802658.6
Chickpea_Nepal_ZZ_Heat stress,300,300,75,0,0,11225,120519.81,348197.38,55524.91,0,0,2264232
Chickpea_Nepal_ZZ_High tempearture during flowering,0,0,0,0,0,11900,0,0,0,0,0,2788474
Chickpea_NIMROZ_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NIMROZ_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NIMROZ_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NIMROZ_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NIMROZ_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NIMROZ_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH CENTRAL_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH CENTRAL_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH CENTRAL_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH CENTRAL_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH CENTRAL_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH CENTRAL_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_NORTH_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Pakistan_ZZ_Cold stress during flowering,117150,5900,4775,4900,18725,17525,71373870,2399430.8,2643322.8,3089287.2,6605168,10212797
Chickpea_Pakistan_ZZ_Drought,136150,30500,125,0,0,0,77290456,15997288,57383.6,0,0,0
Chickpea_Pakistan_ZZ_Excess rainfall,4075,225,100,0,0,164575,2394766,108474.336,66065.13,0,0,93754570
Chickpea_Pakistan_ZZ_Frost,31975,2450,1875,1500,21475,109700,15091042,1438350.5,1137767,919493.75,7760052.5,69977170
Chickpea_Pakistan_ZZ_Heat stress,29900,17650,30150,25450,47350,18475,17945742,10541362,16348315,17476492,27711876,6300083
Chickpea_Pakistan_ZZ_High tempearture during flowering,23700,25,0,0,0,145250,11419346,17120.645,0,0,0,84887410
Chickpea_PAKTIKA_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_PAKTIKA_ZZ_Drought,50,0,0,0,0,0,80.608765,0,0,0,0,0
