OBJECTID_1,Country_Co,CN_DT_Code,STATE,D_NAME_1
552,BT,BTN_472,BHUTAN,Punakha
553,BT,BTN_473,BHUTAN,Samdrupjongkhar
554,BT,BTN_474,BHUTAN,Samtse
555,BT,BTN_475,BHUTAN,Sarpang
556,BT,BTN_476,BHUTAN,Thimphu
557,BT,BTN_477,BHUTAN,Trashigang
558,BT,BTN_478,BHUTAN,Trongsa
559,BT,BTN_479,BHUTAN,Tsirang
560,BT,BTN_480,BHUTAN,Wangduephodrang
561,BT,BTN_481,BHUTAN,Yangtse
562,BT,BTN_482,BHUTAN,Zhemgang
563,NP,NPL_1227,SUDURPASCHIM,ACHHAM
564,NP,NPL_1237,LUMBINI,ARGHAKHANCHI
565,NP,NPL_1213,GANDAKI,BAGLUNG
566,NP,NPL_1274,SUDURPASCHIM,BAITADI
567,NP,NPL_1228,SUDURPASCHIM,BAJHANG
568,NP,NPL_1229,SUDURPASCHIM,BAJURA
569,NP,NPL_1238,LUMBINI,BANKE
570,NP,NPL_1267,MADHESH,BARA
571,NP,NPL_1239,LUMBINI,BARDIYA
572,NP,NPL_1201,BAGMATI,BHAKTAPUR
573,NP,NPL_1248,KOSHI,BHOJPUR
574,NP,NPL_1268,BAGMATI,CHITAWAN
575,NP,NPL_1275,SUDURPASCHIM,DADELDHURA
576,NP,NPL_1230,KARNALI,DAILEKH
577,NP,NPL_1240,LUMBINI,DANG
578,NP,NPL_1276,SUDURPASCHIM,DARCHULA
579,NP,NPL_1202,BAGMATI,DHADING
580,NP,NPL_1249,KOSHI,DHANKUTA
581,NP,NPL_1250,MADHESH,DHANUSHA
582,NP,NPL_1203,BAGMATI,DOLAKHA
583,NP,NPL_1214,KARNALI,DOLPA
584,NP,NPL_1231,SUDURPASCHIM,DOTI
585,NP,NPL_1204,GANDAKI,GORKHA
586,NP,NPL_1215,GANDAKI,GULMI
587,NP,NPL_1232,KARNALI,HUMLA
588,NP,NPL_1251,KOSHI,ILAM
589,NP,NPL_1233,KARNALI,JAJARKOT
590,NP,NPL_1252,KOSHI,JHAPA
591,NP,NPL_1234,KARNALI,JUMLA
592,NP,NPL_1205,BAGMATI,KABHREPALANCHOK
593,NP,NPL_1241,SUDURPASCHIM,KAILALI
594,NP,NPL_1235,KARNALI,KALIKOT
595,NP,NPL_1277,SUDURPASCHIM,KANCHANPUR
596,NP,NPL_1242,LUMBINI,KAPILBASTU
597,NP,NPL_1216,GANDAKI,KASKI
598,NP,NPL_1206,BAGMATI,KATHMANDU
599,NP,NPL_1253,KOSHI,KHOTANG
600,NP,NPL_1207,BAGMATI,LALITPUR
601,NP,NPL_1217,GANDAKI,LAMJUNG
602,NP,NPL_1269,MADHESH,MAHOTTARI
603,NP,NPL_1270,BAGMATI,MAKAWANPUR
604,NP,NPL_1218,GANDAKI,MANANG
605,NP,NPL_1254,KOSHI,MORANG
606,NP,NPL_1236,KARNALI,MUGU
607,NP,NPL_1219,GANDAKI,MUSTANG
608,NP,NPL_1220,GANDAKI,MYAGDI
609,NP,NPL_1208,GANDAKI,NAWALPARASI_E
610,NP,NPL_1221,GANDAKI,NAWALPARASI_W
611,NP,NPL_1209,BAGMATI,NUWAKOT
612,NP,NPL_1255,KOSHI,OKHALDHUNGA
613,NP,NPL_1222,GANDAKI,PALPA
614,NP,NPL_1256,KOSHI,PANCHTHAR
615,NP,NPL_1223,GANDAKI,PARBAT
616,NP,NPL_1271,MADHESH,PARSA
617,NP,NPL_1224,LUMBINI,PYUTHAN
618,NP,NPL_1257,BAGMATI,RAMECHHAP
619,NP,NPL_1210,BAGMATI,RASUWA
620,NP,NPL_1272,MADHESH,RAUTAHAT
621,NP,NPL_1243,LUMBINI,ROLPA
622,NP,NPL_1225,LUMBINI,RUKUM_E
623,NP,NPL_1244,LUMBINI,RUKUM_W
624,NP,NPL_1245,LUMBINI,RUPANDEHI
625,NP,NPL_1246,LUMBINI,SALYAN
626,NP,NPL_1258,KOSHI,SANKHUWASABHA
627,NP,NPL_1259,MADHESH,SAPTARI
628,NP,NPL_1273,MADHESH,SARLAHI
629,NP,NPL_1260,KOSHI,SINDHULI
630,NP,NPL_1211,BAGMATI,SINDHUPALCHOK
631,NP,NPL_1261,MADHESH,SIRAHA
632,NP,NPL_1262,KOSHI,SOLUKHUMBU
633,NP,NPL_1263,KOSHI,SUNSARI
634,NP,NPL_1247,LUMBINI,SURKHET
635,NP,NPL_1226,GANDAKI,SYANGJA
636,NP,NPL_1212,GANDAKI,TANAHU
637,NP,NPL_1264,KOSHI,TAPLEJUNG
638,NP,NPL_1265,KOSHI,TERHATHUM
639,NP,NPL_1266,KOSHI,UDAYAPUR
640,PK,PAK_1311,KHYBER PAKHTUNKHWA,Abbottabad
641,PK,PAK_1349,PUNJAB (PK),Attock
642,PK,PAK_1278,BALOCHISTAN,Awaran
643,PK,PAK_1385,SINDH,Badin
644,PK,PAK_1350,PUNJAB (PK),Bahawalnagar
645,PK,PAK_1351,PUNJAB (PK),Bahawalpur
646,PK,PAK_1312,KHYBER PAKHTUNKHWA,Bajaur
647,PK,PAK_1313,KHYBER PAKHTUNKHWA,Bannu
648,PK,PAK_1279,BALOCHISTAN,Barkhan
649,PK,PAK_1314,KHYBER PAKHTUNKHWA,Batagram
650,PK,PAK_1352,PUNJAB (PK),Bhakkar
651,PK,PAK_1315,KHYBER PAKHTUNKHWA,Buner
652,PK,PAK_1280,BALOCHISTAN,Chagai
653,PK,PAK_1353,PUNJAB (PK),Chakwal
654,PK,PAK_1316,KHYBER PAKHTUNKHWA,Charsadda
655,PK,PAK_1354,PUNJAB (PK),Chiniot
656,PK,PAK_1317,KHYBER PAKHTUNKHWA,Chitral
657,PK,PAK_1386,SINDH,Dadu
658,PK,PAK_1281,BALOCHISTAN,Dera Bugti
659,PK,PAK_1355,PUNJAB (PK),Dera Ghazi Khan
660,PK,PAK_1318,KHYBER PAKHTUNKHWA,Dera Ismail Khan
661,PK,PAK_1356,PUNJAB (PK),Faisalabad
662,PK,PAK_1319,KHYBER PAKHTUNKHWA,FR Bannu
663,PK,PAK_1320,KHYBER PAKHTUNKHWA,FR Dera Ismail Khan
664,PK,PAK_1321,KHYBER PAKHTUNKHWA,FR Kohat
665,PK,PAK_1322,KHYBER PAKHTUNKHWA,FR Lakki Marwat
666,PK,PAK_1323,KHYBER PAKHTUNKHWA,FR Peshawar
667,PK,PAK_1324,KHYBER PAKHTUNKHWA,FR Tank
668,PK,PAK_1387,SINDH,Ghotki
669,PK,PAK_1357,PUNJAB (PK),Gujranwala
670,PK,PAK_1358,PUNJAB (PK),Gujrat
671,PK,PAK_1282,BALOCHISTAN,Gwadar
672,PK,PAK_1359,PUNJAB (PK),Hafizabad
673,PK,PAK_1325,KHYBER PAKHTUNKHWA,Hangu
674,PK,PAK_1326,KHYBER PAKHTUNKHWA,Haripur
675,PK,PAK_1283,BALOCHISTAN,Harnai
676,PK,PAK_1388,SINDH,Hyderabad
677,PK,PAK_1310,FEDERAL CAPITAL TERRITORY,Islamabad
678,PK,PAK_1389,SINDH,Jacobabad
679,PK,PAK_1284,BALOCHISTAN,Jaffarabad
680,PK,PAK_1390,SINDH,Jamshoro
681,PK,PAK_1285,BALOCHISTAN,Jhal Magsi
682,PK,PAK_1360,PUNJAB (PK),Jhang
683,PK,PAK_1361,PUNJAB (PK),Jhelum
684,PK,PAK_1286,BALOCHISTAN,Kachhi
685,PK,PAK_1287,BALOCHISTAN,Kalat
686,PK,PAK_1391,SINDH,Karachi City
687,PK,PAK_1327,KHYBER PAKHTUNKHWA,Karak
688,PK,PAK_1392,SINDH,Kashmore
689,PK,PAK_1362,PUNJAB (PK),Kasur
690,PK,PAK_1288,BALOCHISTAN,Kech
691,PK,PAK_1393,SINDH,Khairpur
692,PK,PAK_1363,PUNJAB (PK),Khanewal
693,PK,PAK_1289,BALOCHISTAN,Kharan
694,PK,PAK_1364,PUNJAB (PK),Khushab
695,PK,PAK_1290,BALOCHISTAN,Khuzdar
696,PK,PAK_1328,KHYBER PAKHTUNKHWA,Khyber
697,PK,PAK_1291,BALOCHISTAN,Killa Abdullah
698,PK,PAK_1292,BALOCHISTAN,Killa Saifullah
699,PK,PAK_1329,KHYBER PAKHTUNKHWA,Kohat
700,PK,PAK_1330,KHYBER PAKHTUNKHWA,Kohistan
701,PK,PAK_1293,BALOCHISTAN,Kohlu
